,name,year,week,team,position,depth
0,L.Evans,2009,1,BUF,LWR,1
1,L.Evans,2009,2,BUF,LWR,1
2,L.Evans,2009,3,BUF,LWR,1
3,L.Evans,2009,4,BUF,LWR,1
4,R.Parrish,2009,1,BUF,LWR,2
5,R.Parrish,2009,2,BUF,LWR,2
6,R.Parrish,2009,3,BUF,LWR,2
7,R.Parrish,2009,4,BUF,LWR,2
8,T.OWENS,2009,1,BUF,RWR,1
9,T.OWENS,2009,2,BUF,RWR,1
10,T.OWENS,2009,3,BUF,RWR,1
11,T.OWENS,2009,4,BUF,RWR,1
12,J.Reed,2009,1,BUF,RWR,2
13,J.Reed,2009,2,BUF,RWR,2
14,J.Reed,2009,3,BUF,RWR,2
15,J.Reed,2009,4,BUF,RWR,2
16,J.Jenkins,2009,1,BUF,RWR,3
17,J.Jenkins,2009,2,BUF,RWR,3
18,J.Jenkins,2009,3,BUF,RWR,3
19,J.Jenkins,2009,4,BUF,RWR,3
20,S.Johnson,2009,1,BUF,RWR,4
21,S.Johnson,2009,2,BUF,RWR,4
22,S.Johnson,2009,3,BUF,RWR,4
23,S.Johnson,2009,4,BUF,RWR,4
24,D.Schouman,2009,1,BUF,TE,1
25,D.Schouman,2009,2,BUF,TE,1
26,D.Schouman,2009,3,BUF,TE,1
27,D.Schouman,2009,4,BUF,TE,1
28,D.Fine,2009,1,BUF,TE,2
29,D.Fine,2009,2,BUF,TE,2
30,D.Fine,2009,3,BUF,TE,2
31,D.Fine,2009,4,BUF,TE,2
32,S.Nelson,2009,1,BUF,TE,3
33,S.Nelson,2009,2,BUF,TE,3
34,S.Nelson,2009,3,BUF,TE,3
35,S.Nelson,2009,4,BUF,TE,3
36,T.Edwards,2009,1,BUF,QB,1
37,T.Edwards,2009,2,BUF,QB,1
38,T.Edwards,2009,3,BUF,QB,1
39,T.Edwards,2009,4,BUF,QB,1
40,G.Hamdan,2009,1,BUF,QB,2
41,G.Hamdan,2009,2,BUF,QB,2
42,G.Hamdan,2009,3,BUF,QB,2
